BMI,CHO,TDD,MIN_OUTPUT,MAX_OUTPUT
12,0,1.00E-12,-1.00E+12,0
12,250,1.00E-12,-1.00E+12,0
12,500,1.00E-12,-1.00E+12,0
25,0,1.00E-12,-1.00E+12,0
25,250,1.00E-12,-1.00E+12,0
25,500,1.00E-12,-1.00E+12,0
45,0,1.00E-12,-1.00E+12,0
45,250,1.00E-12,-1.00E+12,0
45,500,1.00E-12,-1.00E+12,0
12,0,250,0,250
12,250,250,0,250
12,500,250,0,250
25,0,250,0,250
25,250,250,0,250
25,500,250,0,250
45,0,250,0,250
45,250,250,0,250
45,500,250,0,250
12,0,500,0,500
12,250,500,0,500
12,500,500,0,500
25,0,500,0,500
25,250,500,0,500
25,500,500,0,500
45,0,500,0,500
45,250,500,0,500
45,500,500,0,500
