BMI,CHO,TDD,MIN_OUTPUT,MAX_OUTPUT
12,0,1.00E-12,0.5,1.00E+12
12,250,1.00E-12,0.5,1.00E+12
12,500,1.00E-12,0.5,1.00E+12
25,0,1.00E-12,0.5,1.00E+12
25,250,1.00E-12,0.5,1.00E+12
25,500,1.00E-12,0.5,1.00E+12
45,0,1.00E-12,0.5,1.00E+12
45,250,1.00E-12,0.5,1.00E+12
45,500,1.00E-12,0.5,1.00E+12
12,0,250,0.5,50
12,250,250,0.5,50
12,500,250,0.5,50
25,0,250,0.5,50
25,250,250,0.5,50
25,500,250,0.5,50
45,0,250,0.5,50
45,250,250,0.5,50
45,500,250,0.5,50
12,0,500,0.5,50
12,250,500,0.5,50
12,500,500,0.5,50
25,0,500,0.5,50
25,250,500,0.5,50
25,500,500,0.5,50
45,0,500,0.5,50
45,250,500,0.5,50
45,500,500,0.5,50
